count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
8442,2014,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,A628,A628,434800,406200,53.55128553,-1.47622075,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",10,105,12126,71,1718,155,28,25,17,41,58,324,14344
8591,2014,8,"Yorkshire and The Humber",194,Barnsley,A616,Major,A629,A61,432000,398979,53.48656026,-1.51921550,2.90,1.80,Estimated,"Estimated using previous year's AADF on this link",4,93,14969,67,3592,528,107,121,99,541,421,1818,20539
27860,2014,8,"Yorkshire and The Humber",194,Barnsley,A6133,Major,A61,A635,435200,405700,53.54676498,-1.47023977,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",25,61,6454,24,1104,112,42,62,6,18,27,267,7910
26607,2014,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,A629,"LA Boundary",433000,397440,53.47266604,-1.50430688,2.00,1.24,Counted,"Manual count",24,133,10915,23,1743,179,33,33,25,84,89,443,13257
27841,2014,8,"Yorkshire and The Humber",194,Barnsley,A6135,Major,"Parkside Rd",B6096,435700,400000,53.49549986,-1.46334177,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",10,72,7611,96,1648,68,34,27,5,6,4,143,9570
8745,2014,8,"Yorkshire and The Humber",194,Barnsley,A635,Major,"Church Lane",A61,434724,406962,53.55813937,-1.47728344,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",10,119,14521,91,2126,153,33,41,4,10,20,261,17117
28869,2014,8,"Yorkshire and The Humber",194,Barnsley,A635,Major,A637,"Church Lane",433002,407804,53.56581795,-1.50318875,2.70,1.68,Estimated,"Estimated using previous year's AADF on this link",37,65,11214,218,1807,137,24,13,1,13,16,204,13508
28479,2014,8,"Yorkshire and The Humber",194,Barnsley,A633,Major,A6195,B6096,441000,402450,53.51713498,-1.38313702,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",67,95,11991,25,1897,166,47,68,9,34,29,353,14361
26606,2014,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,A633,"B6428 Shaw Lane",433870,410000,53.58550034,-1.48984634,2.10,1.30,Estimated,"Estimated using previous year's AADF on this link",20,74,9252,56,2377,207,57,61,15,34,48,422,12181
18723,2014,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,"B6132 Carlton Rd",A633,434938,408690,53.57365635,-1.47386046,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",41,157,13174,386,2322,243,66,48,11,18,37,423,16462
28491,2014,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,M1,A6135/A6195,434975,400265,53.49793023,-1.47424017,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",12,211,27916,78,5783,666,187,135,50,152,473,1662,35650
28718,2014,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,A616,M1,434000,399300,53.48932046,-1.48904132,1.70,1.06,Estimated,"Estimated using previous year's AADF on this link",22,152,18678,92,3668,391,118,98,47,169,166,989,23580
7387,2014,8,"Yorkshire and The Humber",194,Barnsley,A633,Major,A628,A61,435000,408850,53.57509030,-1.47290634,3.40,2.11,Estimated,"Estimated using previous year's AADF on this link",14,53,6794,45,1525,145,28,16,2,10,36,236,8653
7378,2014,8,"Yorkshire and The Humber",194,Barnsley,A629,Major,A628,"LA Boundary",425000,404540,53.53692116,-1.62426395,4.60,2.86,Estimated,"Estimated using previous year's AADF on this link",10,63,5308,10,1231,146,50,57,12,57,75,398,7011
7354,2014,8,"Yorkshire and The Humber",194,Barnsley,A616,Major,A628,"LA Boundary",420000,401251,53.50757188,-1.69991278,5.90,3.67,Estimated,"Estimated using previous year's AADF on this link",11,62,8140,48,2510,447,63,124,107,486,376,1602,12361
38061,2014,8,"Yorkshire and The Humber",194,Barnsley,A635,Major,A6133,A633,436000,405700,53.54671093,-1.45816692,1.80,1.12,Estimated,"Estimated using previous year's AADF on this link",32,158,15696,670,2287,212,38,24,14,31,17,336,19147
26006,2014,8,"Yorkshire and The Humber",194,Barnsley,M1,Major,36,37,433500,403770,53.52952897,-1.49610061,6.50,4.04,Counted,"Manual count",0,264,73447,276,15261,2566,468,317,285,1594,3032,8262,97509
17342,2014,8,"Yorkshire and The Humber",194,Barnsley,A635,Major,"LA Boundary","B6428 Barugh Lane",430000,408040,53.56811867,-1.54849045,6.30,3.91,Estimated,"Estimated using previous year's AADF on this link",13,42,6116,64,897,49,28,11,2,7,57,153,7273
46007,2014,8,"Yorkshire and The Humber",194,Barnsley,M1,Major,35A,36,435700,398200,53.47932141,-1.46354585,2.60,1.62,Counted,"Manual count",0,146,63635,251,13769,2503,312,268,392,1764,3185,8424,86224
